,2SGA,TA-MA,JCGA
2SGA,1.0,0.00011667246482494065,0.9463703911658415
TA-MA,0.00011667246482494065,1.0,2.8417275937053788e-05
JCGA,0.9463703911658415,2.8417275937053788e-05,1.0
